대,중,소,세,세세_9차,KSIC코드_9차,세세,KSIC코드
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 모듈 제조업,전동기 및 발전기 제조업,28111,전동기 및 발전기 제조업,28111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 모듈 제조업,제조업 회사본부,71511,제조업 회사본부,71511
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 셀 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",26120,기타 반도체소자 제조업,26129
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 발전용 전력변환장치 제조업,기타 발전기 및 전기변환장치 제조,28119,기타 전기 변환장치 제조업,28119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 발전용 전력변환장치 제조업,기타 발전기 및 전기변환장치 제조,28119,에너지 저장장치 제조업,28114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 발전용 전력변환장치 제조업,추가,28119,변압기 제조업,28112
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 웨이퍼 제조업,기타 기초 무기 화학물 제조업,20129,기타 기초 무기 화학물 제조업,20129
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 웨이퍼 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",26120,기타 반도체소자 제조업,26129
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 웨이퍼 제조업,추가,26120,석유화학계 기초화학물질 제조업,20111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 잉곳 제조업,기타 기초 무기 화학물 제조업,20129,기타 기초 무기 화학물 제조업,20129
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 잉곳 제조업,추가,20129,석유화학계 기초화학물질 제조업,20111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 폴리실리콘 제조업,기타 기초 무기 화학물 제조업,20129,기타 기초 무기 화학물 제조업,20129
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 폴리실리콘 제조업,합성수지 및 기타 플라스틱 물질 제조업,20302,합성수지 및 기타 플라스틱 물질 제조업,20202
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 폴리실리콘 제조업,제조업 회사본부,71511,제조업 회사본부,71511
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 폴리실리콘 제조업,추가,71511,석유화학계 기초화학물질 제조업,20111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,집광채광기,기타 광학기기 제조업,27329,디스플레이 장치용 유리 제조업,23122
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 발전 설비 제조장비 제조업,평판디스플레이 제조용 기계 제조업,29272,평판디스플레이 제조용 기계 제조업,29272
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,태양에너지 발전 설비 제조장비 제조업,추가,29272,반도체 제조용 기계 제조업,29271
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,"플라스틱 필름, 시트 및 판 제조업",22212,"플라스틱 필름, 시트 및 판 제조업",22212
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",22291,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",22292
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,키타 판유리 가공품 제조업,23122,기타 판유리 가공품 제조업,23119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,기타 1차 비철금속 제조업,24290,기타 1차 비철금속 제조업,24290
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,금속 조립구조재 제조업,25113,육상 금속 골조 구조재 제조업,25113
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,금속 조립구조재 제조업,25113,수상 금속 골조 구조재 제조업,25114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,배전반 및 전기자동제어반 제조업,28122,배전반 및 전기자동제어반 제조업,28123
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,일반용 전기 조명장치 제조업,28422,일반용 전기 조명장치 제조업,28422
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,정형 내화 요업제품 제조업,23211
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,기타 구조용 금속제품 제조업,25119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,그외 기타 전자부품 제조업,26299
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,마그네틱 및 광학 매체 제조업,26600
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,변압기 제조업,28112
신재생에너지 제조업,신재생에너지 발전 설비 제조업,태양에너지 발전 설비 제조업,기타 태양에너지 발전 설비 관련 제조업,추가,28422,철강선 제조업,24123
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전 시스템 제조업,전동기 및 발전기 제조업,28111,전동기 및 발전기 제조업,28111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전 시스템 제조업,제조업 회사본부,71511,제조업 회사본부,71511
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 블레이드 제조업,기타 기관 및 터빈 제조업,29119,기타 기관 및 터빈 제조업,29119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전용 발전기 제조업,전동기 및 발전기 제조업,28111,전동기 및 발전기 제조업,28111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전용 전력변환장치 제조업,기타 발전기 및 전기변환장치 제조,28119,기타 전기 변환장치 제조업,28119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전용 전력변환장치 제조업,기타 발전기 및 전기변환장치 제조,28119,에너지 저장장치 제조업,28114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 발전용 전력변환장치 제조업,추가,28119,변압기 제조업,28112
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 타워 제조업,금속 조립구조재 제조업,25113,육상 금속 골조 구조재 제조업,25113
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 타워 제조업,금속 조립구조재 제조업,25113,수상 금속 골조 구조재 제조업,25114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,풍력 타워 제조업,그외 기타 기계 및 장비 도매업,46599,그외 기타 기계 및 장비 도매업,46599
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,금속 조립구조재 제조업,25113,육상 금속 골조 구조재 제조업,25113
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,금속 조립구조재 제조업,25113,수상 금속 골조 구조재 제조업,25114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,금속 단조제품 제조업,25912,금속 단조제품 제조업,25912
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,볼베어링 및 롤러베어링 제조업,29141,구름베어링 제조업,29141
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,그외 기타 전자부품 제조업,26299,그외 기타 전자부품 제조업,26299
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,그외 기타 전자부품 제조업,26299,전자감지장치 제조업,26295
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,"물질 검사, 측정 및 분석기구 제조업",27213,"물질 검사, 측정 및 분석기구 제조업",27213
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,속도계 및 전산계기 제조업,27214,속도계 및 전산계기 제조업,27214
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,추가,27214,철강선 제조업,24123
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,추가,27214,기어 및 동력전달장치 제조업,29142
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,추가,27214,정형 내화 요업제품 제조업,23211
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,추가,27214,기타 구조용 금속제품 제조업,25119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,풍력 발전 설비 제조업,기타 풍력 발전 설비 관련 제조업,추가,27214,그외 기타 전자부품 제조업,26299
신재생에너지 제조업,신재생에너지 발전 설비 제조업,수력 및 해양에너지 발전 설비 제조업,수력 및 해양에너지 발전용 터빈 제조업,기타 기관 및 터빈 제조업,29119,기타 기관 및 터빈 제조업,29119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,수력 및 해양에너지 발전 설비 제조업,수력 및 해양에너지 발전용 발전기 제조업,전동기 및 발전기 제조업,28111,전동기 및 발전기 제조업,28111
신재생에너지 제조업,신재생에너지 발전 설비 제조업,수력 및 해양에너지 발전 설비 제조업,기타 수력 및 해양에너지 발전 설비 관련 제조업,기타 기관 및 터빈 제조업,29119,기타 기관 및 터빈 제조업,29119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,수력 및 해양에너지 발전 설비 제조업,기타 수력 및 해양에너지 발전 설비 관련 제조업,"탭, 밸브 및 유사장치 제조업",29133,"탭, 밸브 및 유사장치 제조업",29133
신재생에너지 제조업,신재생에너지 발전 설비 제조업,수력 및 해양에너지 발전 설비 제조업,기타 수력 및 해양에너지 발전 설비 관련 제조업,유압기기 제조업,29120,유압기기 제조업,29120
신재생에너지 제조업,신재생에너지 발전 설비 제조업,연료전지 발전 설비 제조업,연료전지 발전 시스템 제조업,그외 기타 전기장비 제조업,28909,그외 기타 전기장비 제조업,28909
신재생에너지 제조업,신재생에너지 발전 설비 제조업,연료전지 발전 설비 제조업,연료전지 셀 및 스택 제조업,일차전지 제조업,28201,일차전지 제조업,28201
신재생에너지 제조업,신재생에너지 발전 설비 제조업,연료전지 발전 설비 제조업,기타 연료전지 발전 설비 관련 제조업,"증류기, 열교환기 및 가스발생기 제조업",29176,"증류기, 열교환기 및 가스발생기 제조업",29176
신재생에너지 제조업,신재생에너지 발전 설비 제조업,연료전지 발전 설비 제조업,기타 연료전지 발전 설비 관련 제조업,기타 발전기 및 전기변환장치 제조,28119,기타 전기 변환장치 제조업,28119
신재생에너지 제조업,신재생에너지 발전 설비 제조업,연료전지 발전 설비 제조업,기타 연료전지 발전 설비 관련 제조업,기타 발전기 및 전기변환장치 제조,28119,에너지 저장장치 제조업,28114
신재생에너지 제조업,신재생에너지 발전 설비 제조업,석탄IGCC 발전 설비 제조업,석탄IGCC 가스화기 제조업,"증류기, 열교환기 및 가스발생기 제조업",29176,"증류기, 열교환기 및 가스발생기 제조업",29176
신재생에너지 제조업,신재생에너지 발전 설비 제조업,석탄IGCC 발전 설비 제조업,기타 석탄IGCC 발전 설비 관련 제조업,기체 여과기 제조업,29174,기체 여과기 제조업,29174
신재생에너지 제조업,신재생에너지 발전 설비 제조업,석탄IGCC 발전 설비 제조업,기타 석탄IGCC 발전 설비 관련 제조업,기타 기관 및 터빈 제조업,29119,기타 기관 및 터빈 제조업,29119
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",태양에너지 온수/급탕 설비 제조업,태양에너지 집열기 제조업,가정용 비전기식 조리 및 난방기구 제조업,28520,가정용 비전기식 조리 및 난방기구 제조업,28520
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",태양에너지 온수/급탕 설비 제조업,태양에너지 집열기 제조업,"산업용 오븐, 노 및 노용 버너 제조업",29150,"산업용 오븐, 노 및 노용 버너 제조업",29150
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",태양에너지 온수/급탕 설비 제조업,태양에너지 축열기 제조업,가정용 비전기식 조리 및 난방기구 제조업,28520,가정용 비전기식 조리 및 난방기구 제조업,28520
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",태양에너지 온수/급탕 설비 제조업,태양에너지 축열기 제조업,"산업용 오븐, 노 및 노용 버너 제조업",29150,"산업용 오븐, 노 및 노용 버너 제조업",29150
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",건물용 목재펠릿 보일러 제조업,건물용 목재펠릿 보일러 제조업,가정용 비전기식 조리 및 난방기구 제조업,28520,가정용 비전기식 조리 및 난방기구 제조업,28520
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",건물용 목재펠릿 보일러 제조업,건물용 목재펠릿 보일러 제조업,중앙난방보일러 및 방열기 제조업,25121,산업용 난방보일러 및 방열기 제조업,25121
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",지열 및 수열 히트펌프 설비 제조업,지열 및 수열 히트펌프 제조업,"산업용 오븐, 노 및 노용 버너 제조업",29150,산업용 냉장 및 냉동 장비 제조업,29171
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",지열 및 수열 히트펌프 설비 제조업,지열 및 수열 히트펌프 제조업,추가,29150,공기조화장치 제조업,29172
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",지열 및 수열 히트펌프 설비 제조업,지열 및 수열 축열기 제조업,"산업용 오븐, 노 및 노용 버너 제조업",29150,"산업용 오븐, 노 및 노용 버너 제조업",29150
신재생에너지 제조업,"신재생에너지 증기, 냉온수 및 공기조절 생산설비 제조업",지열 및 수열 히트펌프 설비 제조업,지열 및 수열 축열기 제조업,추가,29150,공기조화장치 제조업,29172
신재생에너지 제조업,신재생에너지 연료 제조업,수소 제조업,수소 제조업,산업용 가스 제조업,20121,산업용 가스 제조업,20121
신재생에너지 제조업,신재생에너지 연료 제조업,수소 제조업,수소 제조업,제조업 회사본부,71511,제조업 회사본부,71511
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오가스 제조업,가스 제조 및 배관공급업,35200,연료용 가스 제조 및 배관공급업,35200
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오가스 제조업,지정외 폐기물 처리업,38210,지정외 폐기물 처리업,38210
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오디젤 제조업,그외 기타 분류안된 화학제품 제조업,20499,바이오 연료 및 혼합물 제조업,20495
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오디젤 제조업,액체연료 및 관련제품 도매업,46712,액체연료 및 관련제품 도매업,46712
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오디젤 제조업,원유 정제처리업,19210,원유 정제처리업,19210
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오중유 제조업,그외 기타 분류안된 화학제품 제조업,20499,바이오 연료 및 혼합물 제조업,20495
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오중유 제조업,동물성 유지 제조업,10401,동물성 유지 제조업,10401
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,바이오중유 제조업,식용 정제유 및 가공유 제조업,10403,식용 정제유 및 가공유 제조업,10403
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,"Bio-SRF, 목재칩, 목재펠릿 및 목탄 제조업",표면 가공목재 및 특정 목적용 제재목 제조업,16102,표면 가공목재 및 특정 목적용 제재목 제조업,16102
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,"Bio-SRF, 목재칩, 목재펠릿 및 목탄 제조업",강화 및 재생 목재 제조업,16212,강화 및 재생 목재 제조업,16212
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,"Bio-SRF, 목재칩, 목재펠릿 및 목탄 제조업","라이터, 연소물 및 흡연용품 제조업",33993,"라이터, 연소물 및 흡연용품 제조업",33992
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,"Bio-SRF, 목재칩, 목재펠릿 및 목탄 제조업",일반 제재업,16101,일반 제재업,16101
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,"Bio-SRF, 목재칩, 목재펠릿 및 목탄 제조업",추가,16101,상품 종합 도매업,46800
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,하수슬러지고형연료 제조업,하수 처리업,37011,하수 처리업,37011
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,하수슬러지고형연료 제조업,지정 폐기물 처리업,38220,지정 폐기물 처리업,38220
신재생에너지 제조업,신재생에너지 연료 제조업,바이오에너지 연료 제조업,기타 바이오에너지 연료 제조업,주정 제조업,11121,주정 제조업,11121
