대,중,소,세,세세_9차,KSIC코드_9차,세세,KSIC코드
신재생에너지 제조업,신재생에너지 연료 제조업,폐기물에너지 연료 제조업,고형연료제품(SRF) 제조업,비금속원료 재생업,38302,비금속류 해체 및 선별업,38321
신재생에너지 제조업,신재생에너지 연료 제조업,폐기물에너지 연료 제조업,고형연료제품(SRF) 제조업,비금속원료 재생업,38302,비금속류 원료 재생업,38322
신재생에너지 제조업,신재생에너지 연료 제조업,폐기물에너지 연료 제조업,고형연료제품(SRF) 제조업,건설폐기물 처리업,38230,건설폐기물 처리업,38230
신재생에너지 제조업,신재생에너지 연료 제조업,폐기물에너지 연료 제조업,기타 폐기물 연료 제조업,윤활유 및 그리스 제조업,19221,윤활유 및 그리스 제조업,19221
신재생에너지 제조업,신재생에너지 연료 제조업,폐기물에너지 연료 제조업,기타 폐기물 연료 제조업,기타 석유 정제물 재처리업,19229,기타 석유 정제물 재처리업,19229
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,내부 전기배선 공사업,42312,내부 전기배선 공사업,42312
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,전기용 기계장비 및 관련 기자재 도매업,46594,전기용 기계·장비 및 관련 기자재 도매업,46595
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,일반통신공사업,42321,일반통신공사업,42321
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,내부 통신배선 공사업,42322,내부 통신배선 공사업,42322
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,사무 및 상업용 건물 건설업,41121,사무 및 상업용 건물 건설업,41121
신재생에너지 건설업,신재생에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,태양에너지 발전 설비 건설업,도로 건설업,41221,도로 건설업,41221
신재생에너지 건설업,신재생에너지 발전 설비 건설업,풍력 발전 설비 건설업,풍력 발전 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 발전 설비 건설업,풍력 발전 설비 건설업,풍력 발전 설비 건설업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 건설업,신재생에너지 발전 설비 건설업,풍력 발전 설비 건설업,풍력 발전 설비 건설업,내부 전기배선 공사업,42312,내부 전기배선 공사업,42312
신재생에너지 건설업,신재생에너지 발전 설비 건설업,풍력 발전 설비 건설업,풍력 발전 설비 건설업,전기용 기계장비 및 관련 기자재 도매업,46594,전기용 기계·장비 및 관련 기자재 도매업,46595
신재생에너지 건설업,신재생에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 건설업,신재생에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,수력 및 해양에너지 발전 설비 건설업,내부 전기배선 공사업,42312,내부 전기배선 공사업,42312
신재생에너지 건설업,신재생에너지 발전 설비 건설업,바이오에너지 및 폐기물에너지 발전 설비 건설업,바이오에너지 및 폐기물에너지 발전 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 발전 설비 건설업,연료전지 발전 설비 건설업,연료전지 발전 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 발전 설비 건설업,기타 신재생에너지 발전 설비 건설업,기타 신재생에너지 발전 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",태양에너지 온수/급탕 설비 건설업,태양에너지 온수/급탕 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",태양에너지 온수/급탕 설비 건설업,태양에너지 온수/급탕 설비 건설업,배관 및 냉ㆍ난방 공사업,42201,배관 및 냉ㆍ난방 공사업,42201
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",태양에너지 온수/급탕 설비 건설업,태양에너지 온수/급탕 설비 건설업,건물용 기계장비 설치 공사업,42202,건물용 기계장비 설치 공사업,42202
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",태양에너지 온수/급탕 설비 건설업,태양에너지 온수/급탕 설비 건설업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",태양에너지 온수/급탕 설비 건설업,태양에너지 온수/급탕 설비 건설업,내부 전기배선 공사업,42312,내부 전기배선 공사업,42312
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",바이오에너지 및 폐기물에너지 보일러 건설업,바이오에너지 및 폐기물에너지 보일러 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",바이오에너지 및 폐기물에너지 보일러 건설업,바이오에너지 및 폐기물에너지 보일러 건설업,배관 및 냉ㆍ난방 공사업,42201,배관 및 냉ㆍ난방 공사업,42201
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,배관 및 냉ㆍ난방 공사업,42201,배관 및 냉ㆍ난방 공사업,42201
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,건물용 기계장비 설치 공사업,42202,건물용 기계장비 설치 공사업,42202
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,일반 전기 공사업,42311,삭제,NA
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,내부배선전기공사업,42312,삭제,NA
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,사무 및 상업용 건물 건설업,41121,삭제,NA
신재생에너지 건설업,"신재생에너지 증기, 냉온수 및 공기조절 설비 건설업",지열 및 수열 히트펌프 건설업,지열 및 수열 히트펌프 건설업,도로 건설업,41221,삭제,NA
신재생에너지 건설업,신재생에너지 연료 제조 설비 건설업,수소 제조 설비 건설업,수소 제조 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 연료 제조 설비 건설업,바이오에너지 연료 제조 설비 건설업,바이오에너지 연료 제조 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 건설업,신재생에너지 연료 제조 설비 건설업,폐기물에너지 연료 제조 설비 건설업,폐기물에너지 연료 제조 설비 건설업,산업플랜트 건설업,41225,산업 생산시설 종합 건설업,41225
신재생에너지 공급업,신재생에너지 발전업,태양에너지 발전업,태양에너지 발전업,기타 발전업,35119,태양력 발전업,35114
신재생에너지 공급업,신재생에너지 발전업,태양에너지 발전업,태양에너지 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,신재생에너지 발전업,태양에너지 발전업,태양에너지 발전업,"증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,신재생에너지 발전업,태양에너지 발전업,태양에너지 발전업,원자력발전업,35111,원자력발전업,35111
신재생에너지 공급업,신재생에너지 발전업,태양에너지 발전업,태양에너지 발전업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 공급업,신재생에너지 발전업,풍력 발전업,풍력 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,풍력 발전업,풍력 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,신재생에너지 발전업,풍력 발전업,풍력 발전업,"증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,신재생에너지 발전업,풍력 발전업,풍력 발전업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 공급업,신재생에너지 발전업,수력 발전업,수력 발전업,수력 발전업,35112,수력 발전업,35112
신재생에너지 공급업,신재생에너지 발전업,수력 발전업,수력 발전업,생활용수 공급업,36010,생활용수 공급업,36010
신재생에너지 공급업,신재생에너지 발전업,연료전지 발전업,연료전지 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,연료전지 발전업,연료전지 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,신재생에너지 발전업,연료전지 발전업,연료전지 발전업,"증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,신재생에너지 발전업,연료전지 발전업,연료전지 발전업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 공급업,신재생에너지 발전업,바이오에너지 발전업,바이오에너지 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,바이오에너지 발전업,바이오에너지 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,신재생에너지 발전업,바이오에너지 발전업,바이오에너지 발전업,"증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,신재생에너지 발전업,바이오에너지 발전업,바이오에너지 발전업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 공급업,신재생에너지 발전업,폐기물에너지 발전업,폐기물에너지 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,폐기물에너지 발전업,폐기물에너지 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,신재생에너지 발전업,폐기물에너지 발전업,폐기물에너지 발전업,"증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,신재생에너지 발전업,폐기물에너지 발전업,폐기물에너지 발전업,일반 전기 공사업,42311,일반 전기 공사업,42311
신재생에너지 공급업,신재생에너지 발전업,해양에너지 발전업,해양에너지 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,해양에너지 발전업,해양에너지 발전업,생활용수 공급업,36010,생활용수 공급업,36010
신재생에너지 공급업,신재생에너지 발전업,기타 신재생에너지 발전업,기타 신재생에너지 발전업,기타 발전업,35119,기타 발전업,35119
신재생에너지 공급업,신재생에너지 발전업,기타 신재생에너지 발전업,기타 신재생에너지 발전업,화력발전업,35113,화력발전업,35113
신재생에너지 공급업,"신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업","증기, 냉온수 및 공기조절 공급업",35300,"증기, 냉온수 및 공기조절 공급업",35300
신재생에너지 공급업,"신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업",지정외 폐기물 처리업,38210,지정외 폐기물 처리업,38210
신재생에너지 공급업,"신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업","신재생 증기, 냉온수 및 공기조절 공급업",크라프트지 및 상자용 판지 제조업,17123,크라프트지 및 상자용 판지 제조업,17123
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,건물 및 토목엔지니어링 서비스업,72121,건물 및 토목엔지니어링 서비스업,72121
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,환경컨설팅 및 관련 엔지니어링 서비스업,72122,환경관련 엔지니어링 서비스업,72122
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,태양에너지 단지개발 및 엔지니어링 서비스업,기타 엔지니어링 서비스업,72129,기타 엔지니어링 서비스업,72129
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,건물 및 토목엔지니어링 서비스업,72121,건물 및 토목엔지니어링 서비스업,72121
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,환경컨설팅 및 관련 엔지니어링 서비스업,72122,환경관련 엔지니어링 서비스업,72122
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,풍력 단지개발 및 엔지니어링 서비스업,기타 엔지니어링 서비스업,72129,기타 엔지니어링 서비스업,72129
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,건물 및 토목엔지니어링 서비스업,72121,건물 및 토목엔지니어링 서비스업,72121
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,환경컨설팅 및 관련 엔지니어링 서비스업,72122,환경관련 엔지니어링 서비스업,72122
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,수력 및 해양에너지 단지개발 및 엔지니어링 서비스업,기타 엔지니어링 서비스업,72129,기타 엔지니어링 서비스업,72129
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,건물 및 토목엔지니어링 서비스업,72121,건물 및 토목엔지니어링 서비스업,72121
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,환경컨설팅 및 관련 엔지니어링 서비스업,72122,환경관련 엔지니어링 서비스업,72122
신재생에너지 서비스업,신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,기타 신재생에너지 단지개발 및 엔지니어링 서비스업,기타 엔지니어링 서비스업,72129,기타 엔지니어링 서비스업,72129
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 연구개발업,신재생에너지 전문 연구개발업,기타 공학 연구개발업,70129,기타 공학 연구개발업,70129
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 연구개발업,신재생에너지 전문 연구개발업,기타 자연과학 연구개발업,70119,자연과학 및 공학 융합 연구개발업,70130
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 연구개발업,신재생에너지 전문 연구개발업,기타 자연과학 연구개발업,70119,기타 자연과학 연구개발업,70119
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 연구개발업,신재생에너지 전문 연구개발업,"물리, 화학 및 생물학 연구개발업",70111,"물리, 화학 및 생물학 연구개발업",70111
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 연구개발업,신재생에너지 전문 연구개발업,농학 연구개발업,70112,농림수산학 및 수의학 연구개발업,70112
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,물질성분 검사 및 분석업,72911,물질성분 검사 및 분석업,72911
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,"기타 기술 시험, 검사 및 분석업",72919,"기타 기술 시험, 검사 및 분석업",72919
신재생에너지 서비스업,신재생에너지 과학기술 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,신재생에너지 전문 성능/품질평가 및 인증 서비스업,"그외 기타 분류안된 전문, 과학 및 기술 서비스업",73909,"그외 기타 분류안된 전문, 과학 및 기술 서비스업",73909
신재생에너지 서비스업,신재생에너지 유지보수 서비스업,신재생에너지 유지보수 서비스업,신재생에너지 유지보수 서비스업,전기 및 정밀기기 수리업,95123,전기·전자 및 정밀기기 수리업,34020
신재생에너지 서비스업,신재생에너지 유지보수 서비스업,신재생에너지 유지보수 서비스업,신재생에너지 유지보수 서비스업,기타 일반 기계 및 장비 수리업,95119,기타 일반 기계 및 장비 수리업,34019
신재생에너지 서비스업,신재생에너지 시스템 판매 및 임대업,신재생에너지 시스템 판매업,신재생에너지 시스템 판매업,배관 및 냉ㆍ난방장치 도매업,46621,배관 및 냉ㆍ난방장치 도매업,46621
신재생에너지 서비스업,신재생에너지 시스템 판매 및 임대업,신재생에너지 시스템 판매업,신재생에너지 시스템 판매업,전기용 기계장비 및 관련 기자재 도매업,46594,전기용 기계·장비 및 관련 기자재 도매업,46595
신재생에너지 서비스업,신재생에너지 시스템 판매 및 임대업,신재생에너지 시스템 판매업,신재생에너지 시스템 판매업,추가,46594,상품 종합 도매업,46800
신재생에너지 서비스업,신재생에너지 시스템 판매 및 임대업,신재생에너지 시스템 임대업,신재생에너지 시스템 임대업,그외 기타 개인 및 가정용품 임대업,69299,그외 기타 개인 및 가정용품 임대업,76299
신재생에너지 서비스업,신재생에너지 금융업,신재생에너지 금융업,신재생에너지 금융업,자산운용회사,64201,신탁업 및 집합투자업,64201
신재생에너지 서비스업,신재생에너지 전문 대학 및 대학원,신재생에너지 전문 대학 및 대학원,신재생에너지 전문 대학 및 대학원,대학원,85303,대학원,85303
신재생에너지 서비스업,신재생에너지 전문 대학 및 대학원,신재생에너지 전문 대학 및 대학원,신재생에너지 전문 대학 및 대학원,대학교,85302,대학교,85302
신재생에너지 서비스업,신재생에너지 관련 협회,신재생에너지 관련 협회,신재생에너지 관련 협회,산업 단체,94110,산업 단체,94110
